Input,fiName,url,elementType,id,cssClass,name,type,forLabel
U,American Express Blue Card,https://online.americanexpress.com/myca/logon/us/action?request_type=LogonHandler&Face=en_US,label,lilo_labelUserID,,,,lilo_userName
A,American Express Corporate Cards (With Member Cards),https://online.americanexpress.com/myca/logon/us/action?request_type=LogonHandler&Face=en_US,input,lilo_formSubmit,,,button,
P,American Express Corporate Cards (With Member Cards),https://online.americanexpress.com/myca/logon/us/action?request_type=LogonHandler&Face=en_US,input,lilo_password,,Password,password,
U,American Express Corporate Cards (With Member Cards),https://online.americanexpress.com/myca/logon/us/action?request_type=LogonHandler&Face=en_US,input,lilo_userName,,UserID,text,
A,American Express Costco Cash Rebate Credit Card,https://online.americanexpress.com/myca/logon/us/action?request_type=LogonHandler&Face=en_US&DestPage=https%3A%2F%2Fwww99.americanexpress.com%2Fmyca%2Festatement%2Fus%2Faction%3Frequest_type%3Dauthreg_Statement%26BPIndex%3D0%26sorted_index%3D0%26Face%3Den,input,lilo_formSubmit,,,button,
P,American Express Costco Cash Rebate Credit Card,https://online.americanexpress.com/myca/logon/us/action?request_type=LogonHandler&Face=en_US&DestPage=https%3A%2F%2Fwww99.americanexpress.com%2Fmyca%2Festatement%2Fus%2Faction%3Frequest_type%3Dauthreg_Statement%26BPIndex%3D0%26sorted_index%3D0%26Face%3Den,input,lilo_password,,Password,password,
U,American Express Costco Cash Rebate Credit Card,https://online.americanexpress.com/myca/logon/us/action?request_type=LogonHandler&Face=en_US&DestPage=https%3A%2F%2Fwww99.americanexpress.com%2Fmyca%2Festatement%2Fus%2Faction%3Frequest_type%3Dauthreg_Statement%26BPIndex%3D0%26sorted_index%3D0%26Face%3Den,input,lilo_userName,,UserID,text,
A,American Express Credit Card,https://online.americanexpress.com/myca/logon/us/action?request_type=LogonHandler&Face=en_US&DestPage=https%3A%2F%2Fonline.americanexpress.com%2Fmyca%2Facctsumm%2Fus%2Faction%3Frequest_type%3Dauthreg_acctAccountSummary%26entry_point%3Dlnk,input,lilo_formSubmit,,,button,
P,American Express Credit Card,https://online.americanexpress.com/myca/logon/us/action?request_type=LogonHandler&Face=en_US&DestPage=https%3A%2F%2Fonline.americanexpress.com%2Fmyca%2Facctsumm%2Fus%2Faction%3Frequest_type%3Dauthreg_acctAccountSummary%26entry_point%3Dlnk,input,lilo_password,,Password,password,
U,American Express Credit Card,https://online.americanexpress.com/myca/logon/us/action?request_type=LogonHandler&Face=en_US&DestPage=https%3A%2F%2Fonline.americanexpress.com%2Fmyca%2Facctsumm%2Fus%2Faction%3Frequest_type%3Dauthreg_acctAccountSummary%26entry_point%3Dlnk,input,lilo_userName,,UserID,text,
A,American Savings Bank (HI),https://onlinebanking.asbhawaii.com/ASB/login.aspx,input,ctlSignon_btnLogin,,ctlSignon:btnLogin,submit,
P,American Savings Bank (HI),https://onlinebanking.asbhawaii.com/ASB/login.aspx,input,ctlSignon_txtPassword,standardInput,ctlSignon:txtPassword,password,
U,American Savings Bank (HI),https://onlinebanking.asbhawaii.com/ASB/login.aspx,input,ctlSignon_txtUserID,standardInput,ctlSignon:txtUserID,text,
A,ATB Financial,https://www.atbonline.com/ATB/Login.aspx,input,ctlSignon_btnLogin,btnLogin,ctlSignon$btnLogin,submit,
P,ATB Financial,https://www.atbonline.com/ATB/Login.aspx,input,ctlSignon_txtPassword,standardInput,ctlSignon$txtPassword,password,
U,ATB Financial,https://www.atbonline.com/ATB/Login.aspx,input,ctlSignon_txtUserID,standardInput,ctlSignon$txtUserID,text,
A,BancorpSouth.com,https://www.bancorpsouthonline.com/BXS/Login.aspx,input,ctlSignon_btnLogin,ButtonStyle,ctlSignon$btnLogin,submit,
P,BancorpSouth.com,https://www.bancorpsouthonline.com/BXS/Login.aspx,input,ctlSignon_txtPassword,,ctlSignon$txtPassword,password,
U,BancorpSouth.com,https://www.bancorpsouthonline.com/BXS/Login.aspx,input,ctlSignon_txtUserID,,ctlSignon$txtUserID,text,
A,Bank of the West,https://online.bankofthewest.com/BOW/Login.aspx,input,ctlSignon_LogOnButton,primarybutton,ctlSignon$LogOnButton,submit,
P,Bank of the West,https://online.bankofthewest.com/BOW/Login.aspx,input,ctlSignon_PasswordTextBox,wideTextBox,ctlSignon$PasswordTextBox,password,
U,Bank of the West,https://online.bankofthewest.com/BOW/Login.aspx,input,ctlSignon_UserIdTextBox,wideTextBox,ctlSignon$UserIdTextBox,text,
A,Beehive FCU (ID),https://www.flexteller.net/servlet/com.cmcflex.flexteller.presentation.ActionMultiplexer?Action=ACT0024&CUID=BEE,input,loginsubmit,submit,submit,submit,
P,Beehive FCU (ID),https://www.flexteller.net/servlet/com.cmcflex.flexteller.presentation.ActionMultiplexer?Action=ACT0024&CUID=BEE,input,,text,FormData,password,
U,Beehive FCU (ID),https://www.flexteller.net/servlet/com.cmcflex.flexteller.presentation.ActionMultiplexer?Action=ACT0024&CUID=BEE,input,AccountNumber,text,AccountNumber,text,
A,Bellco Credit Union,https://www.bellco.org/index.asp,input,loginSubmit,btn rounded htmlformsubmit,,submit,
P,Bellco Credit Union,https://www.bellco.org/index.asp,input,password,login-input htmlforminput,password,password,
U,Bellco Credit Union,https://www.bellco.org/index.asp,input,username,login-input htmlforminput,username,password,
A,BethPage FCU (NY),https://www.bethpage.coop,input,btnLogin,htmlformsubmit,wrapper_0$main_0$featured_1$ctl00$ctl01$btnLogin,image,
P,BethPage FCU (NY),https://www.bethpage.coop,input,password,login-input htmlforminput,password,password,
U,BethPage FCU (NY),https://www.bethpage.coop,input,username,login-input htmlforminput,username,text,
A,Boeing Employee Credit Union,https://onlinebanking.becu.org/becubankingweb/Login.aspx,input,ctlSignon_btnLogin,btn red,ctlSignon$btnLogin,submit,
P,Boeing Employee Credit Union,https://onlinebanking.becu.org/becubankingweb/Login.aspx,input,ctlSignon_txtPassword,standardInput,ctlSignon$txtPassword,password,
U,Boeing Employee Credit Union,https://onlinebanking.becu.org/becubankingweb/Login.aspx,input,ctlSignon_txtUserID,standardInput,ctlSignon$txtUserID,text,
A,Cabela's CLUB Visa (World's Foremost Bank),https://www.cabelasclubvisa.com/,input,clubvisa-form:submit,,clubvisa-form:submit,image,
P,Cabela's CLUB Visa (World's Foremost Bank),https://www.cabelasclubvisa.com/,input,clubvisa-form:password,clubNormal loginField,clubvisa-form:password,password,
U,Cabela's CLUB Visa (World's Foremost Bank),https://www.cabelasclubvisa.com/,input,clubvisa-form:username,clubNormal loginField,clubvisa-form:username,text,
A,California Coast Credit Union,https://secure.calcoastcu.org/User/AccessSignin/Start,input,SubmitNext,,SubmitNext,submit,
P,California Coast Credit Union,https://secure.calcoastcu.org/User/AccessSignin/Start,input,SubmitCancel,,SubmitCancel,submit,
U,California Coast Credit Union,https://secure.calcoastcu.org/User/AccessSignin/Start,input,UsernameField,,UsernameField,text,
A,Canadian Tire Financial Services,https://www.ctfs.com/MyOnlineAccount/,input,Continue,submit,Continue,submit,
P,Canadian Tire Financial Services,https://www.ctfs.com/MyOnlineAccount/,input,pac,,pac,password,
U,Canadian Tire Financial Services,https://www.ctfs.com/MyOnlineAccount/,input,acctnum,,acctnum,text,
A,Capital One Costco Wholesale,https://www.capitalonecardservice.ca/ecare/loginform?&locale=en_CA&brand=,input,,button,button1,button,
P,Capital One Costco Wholesale,https://www.capitalonecardservice.ca/ecare/loginform?&locale=en_CA&brand=,input,password1,input,LoginFormBean.password,password,
U,Capital One Costco Wholesale,https://www.capitalonecardservice.ca/ecare/loginform?&locale=en_CA&brand=,input,userid1,input,LoginFormBean.userid,text,
A,Chase,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,logon,,,image,
P,Chase,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,Password,user-password,Password,password,
U,Chase,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,UserID,user-name,UserID,text,
A,Chase   My Account (Debit Card),https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,logon,,,image,
P,Chase   My Account (Debit Card),https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,Password,user-password,Password,password,
U,Chase   My Account (Debit Card),https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,UserID,user-name,UserID,text,
A,Chase Auto Loan,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,logon,,,image,
P,Chase Auto Loan,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,Password,user-password,Password,password,
U,Chase Auto Loan,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,UserID,user-name,UserID,text,
A,Chase Credit Card,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,logon,,,image,
P,Chase Credit Card,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,Password,user-password,Password,password,
U,Chase Credit Card,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,UserID,user-name,UserID,text,
A,Chase Freedom Card,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,logon,,,image,
P,Chase Freedom Card,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,Password,user-password,Password,password,
U,Chase Freedom Card,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,UserID,user-name,UserID,text,
A,Chase Manhattan Corp.,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,logon,,,image,
P,Chase Manhattan Corp.,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,Password,user-password,Password,password,
U,Chase Manhattan Corp.,https://chaseonline.chase.com/chaseonline/logon/sso_logon.jsp,input,UserID,user-name,UserID,text,
A,CitiBank Mortgage,https://www.citimortgage.com/Servicing/logon.do?,input,,,Submit,image,
P,CitiBank Mortgage,https://www.citimortgage.com/Servicing/logon.do?,input,password-field1,,password,password,
U,CitiBank Mortgage,https://www.citimortgage.com/Servicing/logon.do?,input,username-field1,,username,text,
A,Coast Capital Savings (BC),https://www.coastcapitalsavings.com/Online_Banking/Accounts/,input,Continue,,Continue,submit,
P,Coast Capital Savings (BC),https://www.coastcapitalsavings.com/Online_Banking/Accounts/,input,pac,,pac,password,
U,Coast Capital Savings (BC),https://www.coastcapitalsavings.com/Online_Banking/Accounts/,input,acctnum,,acctnum,text,
A,Commerce Bank (KS  MO  IL),https://banking.commercebank.com/CBI/login.aspx,input,btnLogin,aspNetDisabled,btnLogin,submit,
P,Commerce Bank (KS  MO  IL),https://banking.commercebank.com/CBI/login.aspx,input,txtPassword,,txtPassword,password,
U,Commerce Bank (KS  MO  IL),https://banking.commercebank.com/CBI/login.aspx,input,txtUserID,,txtUserID,text,
A,Corning Credit Union,https://my.corningcu.org/HBNet/App/,input,txb_son_l_submit,bt_register,,submit,
P,Corning Credit Union,https://my.corningcu.org/HBNet/App/,input,txb_son_l_password,UserLogin,password,password,
U,Corning Credit Union,https://my.corningcu.org/HBNet/App/,input,txb_son_l_accessId,UserLogin,userName,text,
A,Dell Financial Services,https://dfs.dell.com/Pages/DFSHomePage.aspx,input,ctl00_PlaceHolderMain_signin,default-login-button,ctl00$PlaceHolderMain$signin,submit,
P,Dell Financial Services,https://dfs.dell.com/Pages/DFSHomePage.aspx,input,ctl00_PlaceHolderMain_txtPassword,watermark-text,ctl00$PlaceHolderMain$txtPassword,password,
U,Dell Financial Services,https://dfs.dell.com/Pages/DFSHomePage.aspx,input,ctl00_PlaceHolderMain_txtUserName,watermark-text autofocus,ctl00$PlaceHolderMain$txtUserName,text,
A,Discover Bank,https://www.discoverbank.com/bankac/loginreg/login,input,login-button,rollover,,image,
P,Discover Bank,https://www.discoverbank.com/bankac/loginreg/login,input,password,text,password,password,
U,Discover Bank,https://www.discoverbank.com/bankac/loginreg/login,input,userId,text,userId,text,
A,Discover Card,https://www.discovercard.com/cardmembersvcs/loginlogout/app/ac_main,input,log-in-button,btn-primary log-in-button,,submit,
P,Discover Card,https://www.discovercard.com/cardmembersvcs/loginlogout/app/ac_main,input,password-content,form-control placeholder-text password,password,password,
U,Discover Card,https://www.discovercard.com/cardmembersvcs/loginlogout/app/ac_main,input,userid-content,form-control placeholder-text userid,userID,text,
A,Discover Personal Loans,https://www.discoverbank.com/bankac/loginreg/login,input,login-button,rollover,,image,
P,Discover Personal Loans,https://www.discoverbank.com/bankac/loginreg/login,input,password,text,password,password,
U,Discover Personal Loans,https://www.discoverbank.com/bankac/loginreg/login,input,userId,text,userId,text,
A,Discover Student Loans,https://www.discoverstudentloans.com/MFA/EnterUsername.aspx,input,ctl00_ctl00_ctl00_siteBodyPlaceHolder_uB_b_continueButton,nss-button nss-login,ctl00$ctl00$ctl00$siteBodyPlaceHolder$uB$b$continueButton,submit,
P,Discover Student Loans,https://www.discoverstudentloans.com/MFA/EnterUsername.aspx,input,ctl00_ctl00_ctl00_siteBodyPlaceHolder_uB_b_passwordTextBox,,ctl00$ctl00$ctl00$siteBodyPlaceHolder$uB$b$passwordTextBox,password,
U,Discover Student Loans,https://www.discoverstudentloans.com/MFA/EnterUsername.aspx,input,ctl00_ctl00_ctl00_siteBodyPlaceHolder_uB_b_usernameTextBox,,ctl00$ctl00$ctl00$siteBodyPlaceHolder$uB$b$usernameTextBox,text,
A,Ditech.com Home Loans,https://myaccount.ditech.com/,input,,btn btn-primary,,submit,
P,Ditech.com Home Loans,https://myaccount.ditech.com/,input,,form-control,password,password,
U,Ditech.com Home Loans,https://myaccount.ditech.com/,input,,form-control focus-input,username,text,
A,E*TRADE,https://us.etrade.com/e/t/user/login,input,,log-on-btn,,submit,
P,E*TRADE,https://us.etrade.com/e/t/user/login,input,txtPassword,,,text,
U,E*TRADE,https://us.etrade.com/e/t/user/login,input,,,USER,text,
A,E*TRADE Bank,https://us.etrade.com/e/t/user/login,input,,log-on-btn,,submit,
P,E*TRADE Bank,https://us.etrade.com/e/t/user/login,input,txtPassword,,,text,
U,E*TRADE Bank,https://us.etrade.com/e/t/user/login,input,,,USER,text,
A,FedLoan Servicing,https://accountaccess.myfedloan.org/authentication/?returnKey=CONSUMER PORTAL,input,,btnXLarge,submitButton,submit,
P,FedLoan Servicing,https://accountaccess.myfedloan.org/authentication/?returnKey=CONSUMER PORTAL,input,password,,password,password,
U,FedLoan Servicing,https://accountaccess.myfedloan.org/authentication/?returnKey=CONSUMER PORTAL,input,username,,username,text,
A,Fidelity 401k,https://nb.fidelity.com/public/nb/401k/home,input,login-submit,generic-button-sm,login-submit,submit,
P,Fidelity 401k,https://nb.fidelity.com/public/nb/401k/home,input,pin,txtfield,pin,password,
U,Fidelity 401k,https://nb.fidelity.com/public/nb/401k/home,input,ssnt,txtfield,ssnt,text,
A,Fidelity NetBenefits,https://nb.fidelity.com/public/nb/401k/home,input,login-submit,generic-button-sm,login-submit,submit,
P,Fidelity NetBenefits,https://nb.fidelity.com/public/nb/401k/home,input,pin,txtfield,pin,password,
U,Fidelity NetBenefits,https://nb.fidelity.com/public/nb/401k/home,input,ssnt,txtfield,ssnt,text,
A,Fifth Third Bank,https://www.53.com,input,ib-login-button,login account-type,,submit,
P,Fifth Third Bank,https://www.53.com,input,pw-label,account-type,Password,password,
U,Fifth Third Bank,https://www.53.com,input,uid-input,account-type,UserName,text,
A,First Community Credit Union (Houston  TX),https://onlinebanking.fccu.org/FCCUOnline_40/Authentication/Login.aspx,input,submitAction,button default,,submit,
P,First Community Credit Union (Houston  TX),https://onlinebanking.fccu.org/FCCUOnline_40/Authentication/Login.aspx,input,passwordEdit,text,q2oPassword,password,
U,First Community Credit Union (Houston  TX),https://onlinebanking.fccu.org/FCCUOnline_40/Authentication/Login.aspx,input,loginIdEdit,text,q2oLoginID,text,
A,First Premier Bankcard,https://www.mypremiercreditcard.com/,input,ctl00_headerContent_btnContinue,continuebutton mw_btn1,ctl00$headerContent$btnContinue,submit,
P,First Premier Bankcard,https://www.mypremiercreditcard.com/,input,ctl00_headerContent_txtpassword,password,ctl00$headerContent$txtpassword,password,
U,First Premier Bankcard,https://www.mypremiercreditcard.com/,input,ctl00_headerContent_txtUserName,,ctl00$headerContent$txtUserName,text,
A,Golden 1 Credit Union,https://www.golden1.com/secure/auth/Login.aspx,input,ContentPlaceHolder1_ctl02_imgSignOn,,ctl00$ContentPlaceHolder1$ctl02$imgSignOn,image,
P,Golden 1 Credit Union,https://www.golden1.com/secure/auth/Login.aspx,input,Password,txtbox responsiveTextbox,Password,password,
U,Golden 1 Credit Union,https://www.golden1.com/secure/auth/Login.aspx,input,UserID,txtbox responsiveTextbox,UserID,text,
A,Grow Financial FCU   New,https://hb3.growfinancial.org/hbnet/app,input,txb_son_l_submit,bt_register,,submit,
P,Grow Financial FCU   New,https://hb3.growfinancial.org/hbnet/app,input,txb_son_l_password,UserLogin,password,password,
U,Grow Financial FCU   New,https://hb3.growfinancial.org/hbnet/app,input,txb_son_l_accessId,UserLogin,userName,text,
A,IBC Bank,https://myibc.com/IBCOnline_40/Authentication/Login.aspx?ReturnUrl=%2fibconline_40%2f,input,submitAction,button default,,submit,
P,IBC Bank,https://myibc.com/IBCOnline_40/Authentication/Login.aspx?ReturnUrl=%2fibconline_40%2f,input,passwordEdit,text,q2oPassword,password,
U,IBC Bank,https://myibc.com/IBCOnline_40/Authentication/Login.aspx?ReturnUrl=%2fibconline_40%2f,input,loginIdEdit,text,q2oLoginID,text,
A,Interra Credit Union,https://www.interracu.com/,input,,hb2,,submit,
P,Interra Credit Union,https://www.interracu.com/,input,,hb1,password,password,
U,Interra Credit Union,https://www.interracu.com/,input,,hb1,user_id,text,
A,Local Government FCU ,https://onlineaccess.ncsecu.org/lgfculogin.aspx,input,ucLogin_btnSubmit,SpecialButton,ucLogin$btnSubmit,submit,
P,Local Government FCU ,https://onlineaccess.ncsecu.org/lgfculogin.aspx,input,ucLogin_txtPassword,,ucLogin$txtPassword,password,
U,Local Government FCU ,https://onlineaccess.ncsecu.org/lgfculogin.aspx,input,ucLogin_txtUserID,,ucLogin$txtUserID,text,
A,Logix FCU,https://olb.logixbanking.com//User/AccessSignin/Start,input,SubmitNext,,SubmitNext,submit,
P,Logix FCU,https://olb.logixbanking.com//User/AccessSignin/Start,input,PasswordField,,PasswordField,password,
U,Logix FCU,https://olb.logixbanking.com//User/AccessSignin/Start,input,UsernameField,,UsernameField,text,
A,Michigan State University FCU,https://computerline2.msufcu.org/,input,,button2,,submit,
P,Michigan State University FCU,https://computerline2.msufcu.org/,input,loginpass,,password,password,
U,Michigan State University FCU,https://computerline2.msufcu.org/,input,loginusername,,username,text,
A,Military Star Credit Card,https://shop.aafes.com/shop/Login.aspx?ReturnURL=https://shop.aafes.com/shop/Default.aspx,input,,login-button,,button,
P,Military Star Credit Card,https://shop.aafes.com/shop/Login.aspx?ReturnURL=https://shop.aafes.com/shop/Default.aspx,input,password,input floatleft,,password,
U,Military Star Credit Card,https://shop.aafes.com/shop/Login.aspx?ReturnURL=https://shop.aafes.com/shop/Default.aspx,input,username,input floatleft,,textarea,
A,Mountain America Credit Union  Utah,https://ob.macu.com/User/AccessSignin/Start,input,SubmitNext,,SubmitNext,submit,
U,Mountain America Credit Union  Utah,https://ob.macu.com/User/AccessSignin/Start,input,UsernameField,,UsernameField,text,
P,My.Usaa.Com,https://www.usaa.com/inet/ent_logon/Logon,input,usaaPass,password j_password,j_password,password,
U,My.Usaa.Com,https://www.usaa.com/inet/ent_logon/Logon,input,usaaNum,id j_username,j_username,text,
A,Navy Federal Credit Union,https://my.navyfederal.org/NFOAA_Auth/login.jsp,input,signIn,btn btn-primary,SignIn,button,
P,Navy Federal Credit Union,https://my.navyfederal.org/NFOAA_Auth/login.jsp,input,password,form-control,PASSWORD,password,
U,Navy Federal Credit Union,https://my.navyfederal.org/NFOAA_Auth/login.jsp,input,user,form-control,USER,text,
A,Nebraska Furniture Mart Consumer Credit,https://www.nfm.com/MYACCOUNT/STATEMENTSLOGINWINDOW.ASPX?RETURNURL=/MYACCOUNT/DEFAULT.ASPX,input,ctl00_nfmcontent_Login1_LoginButton,ButtonTheme orangeButton evenButton,ctl00$nfmcontent$Login1$LoginButton,submit,
P,Nebraska Furniture Mart Consumer Credit,https://www.nfm.com/MYACCOUNT/STATEMENTSLOGINWINDOW.ASPX?RETURNURL=/MYACCOUNT/DEFAULT.ASPX,input,ctl00_nfmcontent_Login1_Password,form-control sessioncamhidetext,ctl00$nfmcontent$Login1$Password,password,
U,Nebraska Furniture Mart Consumer Credit,https://www.nfm.com/MYACCOUNT/STATEMENTSLOGINWINDOW.ASPX?RETURNURL=/MYACCOUNT/DEFAULT.ASPX,input,ctl00_nfmcontent_Login1_UserName,form-control,ctl00$nfmcontent$Login1$UserName,text,
A,OnPoint Community Credit Union,https://www.onpointcudigital.com/OPCU/login.aspx,input,ctlSignon_btnLogin,,ctlSignon$btnLogin,submit,
P,OnPoint Community Credit Union,https://www.onpointcudigital.com/OPCU/login.aspx,input,ctlSignon_txtPassword,standardInputLogin,ctlSignon$txtPassword,password,
U,OnPoint Community Credit Union,https://www.onpointcudigital.com/OPCU/login.aspx,input,ctlSignon_txtUserID,standardInputLogin,ctlSignon$txtUserID,text,
A,Prosperity Bank   TX,https://secure.fundsxpress.com/piles/fxweb.pile/fx?iid=PBSLTX,input,,login-button,submit,submit,
P,Prosperity Bank   TX,https://secure.fundsxpress.com/piles/fxweb.pile/fx?iid=PBSLTX,input,passcode,login-field,passcode,password,
U,Prosperity Bank   TX,https://secure.fundsxpress.com/piles/fxweb.pile/fx?iid=PBSLTX,input,aid,login-field,aid,text,
A,Prudential Financial Retirement,https://ssologin.prudential.com/app/retirement/Login.fcc,input,login-button,btn pru-bg-yellow pru-custom-weight,login,submit,
P,Prudential Financial Retirement,https://ssologin.prudential.com/app/retirement/Login.fcc,input,,text form-control,PASSWORD,password,
U,Prudential Financial Retirement,https://ssologin.prudential.com/app/retirement/Login.fcc,input,,text form-control,USER,text,
A,PSECU,https://homebank.psecu.com/Login/Login.aspx,input,btnLogin,btn btn-primary DisableOnClick,btnLogin,submit,
P,PSECU,https://homebank.psecu.com/Login/Login.aspx,input,Pwd,form-control,Pwd,password,
U,PSECU,https://homebank.psecu.com/Login/Login.aspx,input,AccountNumber,form-control,AccountNumber,text,
A,PSECU For User ID,https://homebank.psecu.com/Login/Login.aspx,input,btnLogin,btn btn-primary DisableOnClick,btnLogin,submit,
P,PSECU For User ID,https://homebank.psecu.com/Login/Login.aspx,input,Pwd,form-control,Pwd,password,
U,PSECU For User ID,https://homebank.psecu.com/Login/Login.aspx,input,AccountNumber,form-control,AccountNumber,text,
A,Public Service CU (CO),https://cm.netteller.com/login2008/Authentication/Views/Login.aspx?fi=pscu&bn=dc59fdf8f762ead0&burlid=cccad1dea343a33d,input,ctl00_PageContent_Login1_LoginButton,ColorButton,ctl00$PageContent$Login1$LoginButton,submit,
P,Public Service CU (CO),https://cm.netteller.com/login2008/Authentication/Views/Login.aspx?fi=pscu&bn=dc59fdf8f762ead0&burlid=cccad1dea343a33d,input,ctl00_PageContent_Login1_PasswordTextBox,LoginPwdTextBox,ctl00$PageContent$Login1$PasswordTextBox,password,
U,Public Service CU (CO),https://cm.netteller.com/login2008/Authentication/Views/Login.aspx?fi=pscu&bn=dc59fdf8f762ead0&burlid=cccad1dea343a33d,input,ctl00_PageContent_Login1_IdTextBox,LoginIdTextBox,ctl00$PageContent$Login1$IdTextBox,text,
A,Randolph Brooks FCU,https://www.rbfcu.org/NBO/loginSubmit.do,input,,btn,Go,submit,
